Id,Você mora no Brasil?,Qual estado você mora?,Qual perfil você mais se identifica?,Você é um desenvolvedor focado em front-end?,Há quanto tempo você desenvolve front-end?,AngularJS,Backbone.js,Ember.js,jQuery,KnockoutJS,Other,Você utiliza algum padrão de módulo (module pattern) Javascript?,AMD,CommonJS,Other,Você utiliza alguma ferramenta para gerenciamento de pacotes front-end?,Bower,NPM,Volo,Jam,Other,Você utiliza alguma ferramenta para a automatização de tarefas relacionadas ao desenvolvimento front-end?,Grunt,Gear,Ant,Make,Cake,Jake,Rake,Bash,Other,Você desenvolve testes para o código Javascript?,Unitários,Integração ou End-to-End,Performance,Other,Você utiliza alguma ferramenta para auxiliar a realização dos testes?,QUnit,Karma,Jasmine,Sinon,Mocha,Other,Você utiliza alguma ferramenta de controle de versão?,Git,Mercurial,Subversion,Rational,Other,Você utiliza algum pré-processador CSS?,LESS,Sass,Stylus,Roole,Other,Você usa algum framework CSS?,Twitter Bootstrap,Topcoat,Foundation,Pure CSS,Other,Você usa alguma template-engine?,dust.js,Handlebars.js,Mustache.js,Jade,A do próprio framework,Other,Você utiliza alguma outra linguagem para escrever Javascript?,Marque qual linguagem você escreve Javascript:,Minifico o HTML,Minifico os arquivos CSS,Minifico os arquivos JS,Combino arquivos CSS,Combino arquivos JS,Otimizo as imagens,Uso arquivos servidos em um CDN público,Uso arquivos servidos em um CDN próprio,Other,Quais navegadores antigos você dá suporte?,Qual navegador você utiliza para desenvolvimento?,Como você vê o seu desenvolvimento para mobile?,Sublime Text,WebStorm (Jet Brains),Notepad++,Visual Studio,Dreamweaver,VI / VIM,Emacs,TextMate,NetBeans,Eclipse,Brackets,Other
64,1,SP,A,1,B,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,1,1,,,,0,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,,1,1,,,,,,,1,0,0,1,,,,,,,,,,,
67,1,MG,A,0,B,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,1,3,,,1,,,,,,,3,0,0,,,,,,,,,,1,,
74,1,RJ,F,0,C,1,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,1,1,1,,,1,,1,1,,,,1,1,,,,,1,,1,,,,1,1,,1,,,1,,,,,1,,0,,,,1,1,1,,,,,2,0,0,1,1,,,,,,,,,,
76,1,CE,B,,D,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,1,1,,,,1,1,,1,,,,1,1,,,,,1,,1,,,,0,,,,,,0,,,,,,,0,,,1,1,1,1,1,,,,2,0,2,1,,,,,,,,,,,
81,1,SP,B,,D,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,1,1,,,,1,1,,,,,,1,1,1,,,,0,,,,,,1,1,,,,,0,,,,,,,0,,,1,1,1,1,1,,,,2,0,1,1,,,,,,,,,,,
83,1,RJ,A,1,D,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,1,1,,,,,0,,,,,,,0,,,1,,1,,1,1,1,,1,0,0,,,,,1,,,,,,,
85,1,RJ,F,0,D,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,,,1,,,0,,,,,,1,1,,,,,1,,,,,,1,0,,,1,1,1,1,1,,,,3,0,2,1,,,1,,,,,,,,
86,1,RN,B,,D,,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,1,,1,,,,0,,,,,,0,,,,,,,0,,1,1,1,1,,1,,,,2,1,2,1,,,,,,,,,,,
87,1,RJ,A,0,C,1,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,1,1,,,,,0,,,,,,,0,,,,1,,,1,1,,,1,0,2,1,,,,,,,,,,,
88,1,RJ,B,,B,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,1,1,,,,,0,,,,,,0,,,,,,,0,,1,,,,,,,,,3,0,4,1,,,,,,,,,1,,
89,1,SC,E,0,A,,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,0,,,,,,1,1,,,,,0,,,,,,,0,,1,1,1,1,1,1,,,,1,1,1,1,,,,,,,,,,,
92,1,GO,B,,D,1,,,1,,,1,,1,,1,1,1,,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,1,1,,,,,1,1,,,,,1,1,,,,,1,,,,1,,,1,0,,1,1,1,1,1,,,,2,1,2,1,,,,,,,,,,,
96,1,SP,B,,D,,,,1,,,1,,1,,1,1,,,,,1,1,,,,,,,,,0,,,,,,,,,,,,1,,,1,,,1,,1,,,,0,,,,,,0,,,,,,,0,,,1,,,,1,1,,,1,1,3,1,,,,,,,,,,,
97,1,RN,B,,D,,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,,1,,,,1,,,,3,0,1,,,,,,,,,,,,1
99,1,MG,B,,B,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,1,1,,1,,,0,,,,,,,0,,,,,,,1,,,,2,0,0,1,,,,,,,,,,,
100,1,SC,B,,D,1,,,,,,1,1,,,0,,,,,,1,1,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,1,1,1,,,,1,1,,,,,1,,,,,1,,1,0,1,,1,1,,,1,,,2,0,3,1,,,,,,,,,,,
102,1,RJ,B,,D,,,,1,,,1,,1,,0,,,,,,0,,,,,,,,,,1,1,1,,,1,1,,,,,,1,1,1,,,,1,1,,,,,1,1,,1,1,,1,,,,,1,,0,,1,1,,,,1,1,,,2,0,3,1,,,,,,,,,,,
103,1,MG,B,,C,,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,,,,,,,,,,3,0,2,,,1,,,,,,,,,
105,1,SP,A,0,D,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,1,1,,1,,1,,,1,,,,0,,,,,,0,,,,,,1,,,1,,,0,,,,,,,0,,,,,,1,1,,,,2,0,1,1,,,,,,,,,,,
106,1,CE,F,0,D,1,1,,1,,,0,,,,0,,,,,,1,1,,,,,,,,,1,1,,1,,1,,,1,,,,1,1,,,,,1,,1,,,,0,,,,,,0,,,,,,,0,,,,,,,,,,,2,0,2,1,,,,,,,,,,,
107,1,RJ,B,,D,,,,1,,,1,,1,,0,,,,,,1,1,,,1,,,,,,0,,,,,,,,,,,,1,1,,,,,1,1,1,,,,0,,,,,,0,,,,,,,0,,1,,1,,,,,,,2,1,0,,,,,,1,,,,,,
108,1,CE,B,,A,,,,,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,,,,1,,1,,,,2,0,2,,,1,,,,,,,,,
111,1,MG,B,,D,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,1,1,,,,,1,,,,,1,,0,,1,1,1,1,1,,1,,,2,0,2,,,,,,,,,1,,,1
112,1,RJ,B,,D,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,,,1,,,1,1,,,,,0,,,,,,0,,,,,,,0,,1,1,1,1,1,1,,,,1,1,4,1,,,,,,,,,,,
114,1,RJ,B,,D,1,1,,1,1,,0,,,,1,1,1,,,,1,1,,,,,,,1,,1,1,,,,1,,1,1,,1,,1,1,,,,,1,1,,,,,1,1,,,,,1,1,1,,,1,,1,0,1,1,1,1,1,,,1,,3,0,3,,1,,,,,,,,,,
115,1,CE,B,,C,,,,1,,,0,,,,0,,,,,,1,1,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,0,,,,,,1,1,,,,,0,,,,,,,0,,1,1,,1,1,,,,,1,0,2,1,,,,,,,,,,,
117,1,RS,A,0,D,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,1,1,,,,,1,1,,,,,0,,,,,,,0,,,1,1,,,1,,,,1,0,2,1,,,,,,,,,,,
120,1,MG,F,0,D,1,,,1,,,0,,,,1,,1,,,,1,,,,,,,,,1,0,,,,,,,,,,,,1,1,,,,,1,,1,,,,1,1,,1,,,1,,,,,,,0,,,1,1,1,1,1,1,1,,3,0,4,1,,,,,1,,,,,,
121,1,SP,B,,D,,,,1,,1,1,1,,,1,1,1,,,,1,1,,,,,,,,,1,1,,,,1,,,1,1,1,,1,1,,,,,1,,1,,,,0,,,,,,1,,1,,,,,0,,1,1,1,1,1,1,,1,,2,0,4,1,,,,,,,,,,,
124,1,MG,B,,C,,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,1,1,1,1,1,1,,,,2,1,2,,,1,,1,,,,,,,
126,1,RJ,E,1,D,,,,1,,1,0,,,,0,,,,,,1,,,1,,1,,,,,1,1,,,,1,,,,,1,,1,1,1,,,,1,,1,,,1,1,1,,,,,0,,,,,,,0,,1,1,,1,,1,,,,1,1,3,1,,,,,,,,,,,1
127,1,MG,E,1,D,,,,1,,,2,,,,1,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,1,1,1,1,1,1,,,,1,1,2,1,,1,,,,,,,,,
131,1,CE,E,1,B,,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,1,,,,0,,,,,,0,,,,,,0,,,,,,,0,,,,,1,,,,,,3,0,2,1,,,,1,,,1,,,,
132,1,AL,B,,A,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,,,,1,,,,,,3,1,0,,,,,1,,,,,,,
133,1,SP,B,,D,1,1,1,,,1,1,1,1,,1,,1,,,,1,1,,,1,,,1,1,,1,1,,,,1,,1,,1,1,1,1,1,,,,,1,1,1,1,,,1,1,,1,,,1,,1,,1,,,1,3,1,1,1,1,1,1,,,,3,1,3,1,,,,,1,,,,,,
134,1,SP,F,1,D,,,,1,,1,1,,,1,0,,,,,,0,,,,,,,,,,1,1,,1,,1,1,,,,,,1,1,,,,,1,,1,1,,,1,1,,,,,1,,1,,,,,0,,,,,1,1,1,1,,,2,0,2,1,,,,,,,,,,,
139,1,CE,B,,D,1,,,1,1,,1,,1,,1,1,1,,,,1,1,,1,,,,1,,,0,,,,,,,,,,,,1,1,,,,,0,,,,,,1,1,,1,,,1,,1,1,,,,0,,,1,1,1,1,,,,,2,0,2,1,,,,,,,1,,,,
141,1,RJ,B,,D,,,,1,,,1,,1,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,1,,,1,1,1,,,,0,,,,,,0,,,,,,,0,,,1,,,,1,,,,1,1,2,1,,1,,1,,,,,,,
144,1,RJ,E,0,D,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,0,,,,,,1,1,,,,,0,,,,,,,0,,1,1,1,1,1,1,1,,,2,0,2,,,,1,,,,,,,,
145,1,RS,B,,A,,,,1,,,2,,,,0,,,,,,1,1,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,1,,,,1,,0,,,,,,,0,,,,,1,,,,,,0,0,0,,,1,,,,,,,,,
146,1,SP,B,,D,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,1,,,1,,0,,,,,,,1,,,,,1,0,,,,,,1,,,,,1,0,,,,,,,0,,,,,,,1,,,,1,1,2,,,,1,1,,,,,,,
148,1,MG,B,,A,1,,,,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,1,1,1,1,1,1,,,,2,0,3,1,,,,,,,,,,,
149,1,PR,F,0,C,,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,1,1,,,,1,,,,,,1,0,,,,,,0,,,,,,1,1,,,,,0,,,,,,,0,,1,,,,,,,,,3,0,2,,,,,1,,,,,,,
150,1,SP,B,,C,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,1,1,,1,,0,,,,,,,0,,,,,,1,1,,,,,1,1,,,,,0,,,,,,,0,,1,1,1,1,1,1,1,,,3,0,0,,,,,1,,,,,,,
154,1,SP,B,,B,,,,1,,,2,,,,1,1,,,,,1,1,,,,,,,,,0,,,,,,,,,,,,1,1,,1,,,0,,,,,,1,1,,,,,0,,,,,,,0,,1,1,1,1,1,1,,,,3,0,2,1,,1,,,,,,1,,,
159,1,CE,B,,D,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,1,,,1,,,0,,,,,,,0,,,,,1,,,1,,,1,0,2,1,,1,,,,,,,,,
161,1,RJ,B,,D,1,,,1,,,0,,,,1,1,1,,,,1,1,,,,,,,,,0,,,,,,,,,,,,1,1,,1,,,1,1,1,,,,0,,,,,,1,,1,,,,,0,,1,1,1,1,1,1,,,,2,0,2,1,,,,,,,,,,,
163,1,PR,B,,D,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,1,1,,1,,,,,,2,2,4,,,1,,1,,,,,,,
166,1,RJ,B,,D,,1,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,,,1,,,1,,1,,,,1,1,,1,1,,1,,1,,,1,,0,,1,1,1,1,,1,,,,1,0,2,1,,,1,,,,,,,,
168,1,PR,A,0,C,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,1,,,0,,,,,,1,1,,,,,0,,,,,,,0,,,,,,,1,1,,,3,0,1,,,1,,,,,,1,1,,
169,1,SP,E,0,D,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,0,,,,,,1,1,,1,,,0,,,,,,,0,,1,1,1,,,1,,,,2,0,2,1,,,,,,,,,,,
173,1,MG,B,,D,1,1,,1,,,1,1,,,1,1,1,,,,1,1,,,,,,,,,1,1,,,,1,,,1,,,,1,1,,1,,,1,,,,1,,1,1,,,,,0,,,,,,,0,,1,1,1,1,1,,,1,,2,0,3,1,,,,,,,,,,,
174,1,RJ,B,,D,1,1,,1,,,1,1,1,,0,,,,,,1,1,,,,,,,,,0,,,,,,,,,,,,1,1,,1,,,1,,1,,,,1,1,,1,,,1,,,1,,,,0,,,1,1,1,1,1,,,,2,0,2,1,,,,,,,,,,,
178,1,DF,E,1,B,,,,1,,,2,,,,1,,,,,,1,,,,,1,,,,,0,,,,,,,,,,,,1,1,,,,,1,1,,,,,1,1,,,,,0,,,,,,,0,,1,1,,1,,1,,,,3,0,0,1,,,,,,,,,,,
179,1,SP,B,,D,1,,,1,,,1,,1,,0,,,,,,1,1,,,,,,,,,0,,,,,,,,,,,,1,1,,1,,,0,,,,,,1,1,,,,,0,,,,,,,0,,1,1,1,,,,1,,,2,0,3,1,,,,,,,,,,,
180,1,RJ,A,0,D,,1,,1,,1,1,,1,,1,1,1,,,,1,1,,,,,,,1,,1,1,1,1,,1,1,,1,,,1,1,1,,,,,1,1,1,,,,0,,,,,,1,,1,,,,,0,,,1,1,1,1,1,1,,,2,1,2,1,,,,,1,,,,,,
181,1,SP,B,,B,,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,1,,1,,,0,,,,,,,0,,,,,,0,,,,,,1,1,,1,,,0,,,,,,,0,,1,1,1,1,1,1,,,,1,0,1,1,,,,1,,,,,,,
182,1,SP,B,,B,,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,,,,,,1,,,,2,1,0,1,,,,,,,,,,,
184,1,MG,A,1,A,,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,,1,,,,,,,,3,0,1,1,,,,,,,,,,,
185,1,RS,B,,D,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,1,,,0,,,,,,0,,,,,,0,,,,,,,0,,1,,1,1,1,1,1,,,2,0,2,1,,1,,1,,,,,,,
188,1,SP,B,,A,1,,,,,,0,,,,1,1,1,,1,,0,,,,,,,,,,1,1,,,,1,,,1,,,,0,,,,,,0,,,,,,1,1,,1,,,1,,1,1,,,,0,,1,,,,,,,,,0,0,0,,,1,1,,,,,,,,
190,1,MG,A,0,D,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,0,,,,,,1,1,1,,,,0,,,,,,,0,,1,1,1,1,1,1,,,,2,0,2,1,,1,,1,,1,,1,,,
194,1,SP,A,0,C,,,,1,,,1,,1,,1,,1,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,1,,1,,,,1,1,,,,,1,,1,1,,,,1,0,,1,,,,,1,,,2,0,2,1,,,,,,,,,,,
196,1,SP,B,,D,,,,1,,,1,1,,,1,1,1,,,,1,1,,,,,,,,,0,,,,,,,,,,,,1,1,,1,,,1,,1,,,,1,,,,1,,1,,,,,1,,0,,1,1,1,1,,1,,,,2,0,2,1,,,,,,,,,,,
197,1,RS,B,,C,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,,,1,,,0,,,,,,0,,,,,,0,,,,,,,0,,,1,1,,,1,,,,1,1,2,1,,,,,,,,,,,
198,1,SP,A,1,D,,1,,1,,,1,,1,,1,,1,,,,1,,,,,,,,,1,1,1,,,,1,,,1,,,,1,1,,,,,1,,1,,,,1,1,,,,,1,,,,,1,,1,0,1,1,1,1,1,,,1,,1,0,2,1,,,,,1,,,,1,,
200,1,CE,A,0,C,,,,1,,,1,1,,,1,1,1,,,,1,1,,,,,,,,,0,,,,,,,,,,,,0,,,,,,1,1,1,1,,,1,1,,1,,,1,,1,,,,,0,,,1,1,1,,,,,,1,0,2,1,,,,,,,,,,,
201,1,RJ,A,0,C,,,,1,,,1,1,,,0,,,,,,1,1,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,1,1,,,,,1,1,,1,,,0,,,,,,,0,,1,,,1,1,1,,,,2,0,0,1,,,,,,,,,,,
202,1,RJ,B,,D,,,,1,,,1,1,1,,1,1,1,,,,1,1,,,1,,,1,1,,1,1,1,1,,1,,1,1,,1,,1,1,,1,,,1,1,1,,,,1,1,,1,1,,1,,,,1,,,0,,1,1,1,1,1,1,,1,,2,0,2,1,,,1,,,,,,,1,
205,1,RS,B,,B,1,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,1,,1,,1,,0,,,,,,0,,,,,,,0,,1,1,1,1,1,1,1,,,2,0,1,1,,,,,,,,,,,
206,1,DF,B,,C,1,,,1,,,0,,,,1,,,,1,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,1,,,1,,1,,,,1,1,,,,,0,,,,,,,0,,1,1,1,,,1,,,,1,1,2,1,,,,,,,,,,,
207,1,SP,B,,C,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,1,,1,,,,1,1,,1,1,,0,,,,,,,0,,,1,1,,,1,,,,2,0,3,1,,,,,,,,,,,
209,1,RS,A,0,B,,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,1,1,1,1,,0,,,,,,,1,1,,1,,,0,,,,,,1,1,,,,,0,,,,,,,0,,,1,1,,1,1,,,,2,0,1,1,,,1,,,,,,,,
210,1,MG,B,,D,1,,,1,,,1,,1,,1,1,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,1,,1,,,,1,,,1,,,0,,,,,,,0,,,,,1,,,,,,2,4,2,,,,,1,,,,,,,
211,1,SP,B,,D,1,,1,1,,,1,1,,,1,1,1,,,,1,1,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,1,,1,,,,1,1,,,,,0,,,,,,,0,,,1,1,1,1,1,,,1,1,0,2,1,,,,,,,,,,,
213,1,SP,B,,D,,,,1,,,1,1,,,1,1,,,,,1,1,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,0,,,,,,1,1,,,1,,0,,,,,,,0,,,1,1,1,,1,,1,,2,0,3,1,,,,,,,,,,,
214,1,MG,B,,C,,,,1,,,2,,,,0,,,,,,1,,,,,,,,,1,0,,,,,,,,,,,,1,1,,,,,1,,1,,,,0,,,,,,0,,,,,,,0,,,1,1,1,1,1,,,,2,0,2,1,,,,,,,,,,,
215,1,SP,B,,C,,,,1,,1,0,,,,0,,,,,,0,,,,,,,,,,1,1,,,,0,,,,,,,1,1,,,,,0,,,,,,1,1,,,,,0,,,,,,,0,,1,1,1,1,,,,,,2,0,2,1,,,,,,,,,,,
218,1,RJ,B,,D,,,,1,,1,2,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,,,1,,,0,,,,,,0,,,,,,0,,,,,,,0,,,,,1,,,,,,3,1,0,,,1,,,,,,,,,
