Id,BRA,EST,PER,FOC,EXP,FRW.ANG,FRW.BBO,FRW.EMB,FRW.JQU,FRW.KNO,FRW.OTH,MOD,MOD.AMD,MOD.COM,MOD.OTH,PKG,PKG.BOW,PKG.NPM,PKG.VOL,PKG.JAM,PKG.OTH,AUT,AUT.GRN,AUT.GER,AUT.ANT,AUT.MAK,AUT.CAK,AUT.JAK,AUT.RAK,AUT.BAS,AUT.OTH,TST,TST.UNI,TST.INT,TST.PER,TST.OTH,TST.FER,TST.FER.QUN,TST.FER.KAR,TST.FER.JAS,TST.FER.SIN,TST.FER.MOC,TST.FER.OTH,VER,VER.GIT,VER.MER,VER.SVN,VER.RAT,VER.OTH,PCS,PCS.LES,PCS.SAS,PCS.STY,PCS.ROO,PCS.OTH,CSS,CSS.TBS,CSS.TCO,CSS.FOU,CSS.PUR,CSS.OTH,TMP,TMP.DUS,TMP.HAN,TMP.MUS,TMP.JAD,TMP.FRW,TMP.OTH,LNG,LNG.CHO,PRO.MHT,PRO.MCS,PRO.MJS,PRO.CCS,PRO.CJS,PRO.OIM,PRO.CDU,PRO.CDR,PRO.OTH,BRW.SUP,BRW.DES,MOB,EDT.SUB,EDT.WEB,EDT.NOT,EDT.VST,EDT.DRW,EDT.VIM,EDT.EMA,EDT.TXM,EDT.NET,EDT.ECL,EDT.BRA,EDT.OTH
74,S,RJ,F,N,C,1,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,S,1,1,,,S,,1,1,,,,S,1,,,,,S,,1,,,,S,1,,1,,,S,,,,,1,,N,,,,1,1,1,,,,,2,A,0,1,1,,,,,,,,,,
76,S,CE,B,,D,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,S,1,,,,S,1,,1,,,,S,1,,,,,S,,1,,,,N,,,,,,N,,,,,,,N,,,1,1,1,1,1,,,,2,A,2,1,,,,,,,,,,,
81,S,SP,B,,D,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,S,1,,,,S,1,,,,,,S,1,1,,,,N,,,,,,S,1,,,,,N,,,,,,,N,,,1,1,1,1,1,,,,2,A,1,1,,,,,,,,,,,
83,S,RJ,A,S,D,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,S,1,,,,,N,,,,,,,N,,,1,,1,,1,1,1,,1,A,0,,,,,1,,,,,,,
85,S,RJ,F,N,D,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,,,1,,,N,,,,,,S,1,,,,,S,,,,,,1,N,,,1,1,1,1,1,,,,3,A,2,1,,,1,,,,,,,,
86,S,RN,B,,D,,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,S,,1,,,,N,,,,,,N,,,,,,,N,,1,1,1,1,,1,,,,2,B,2,1,,,,,,,,,,,
87,S,RJ,A,N,C,1,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,S,1,,,,,N,,,,,,,N,,,,1,,,1,1,,,1,A,2,1,,,,,,,,,,,
88,S,RJ,B,,B,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,S,1,,,,,N,,,,,,N,,,,,,,N,,1,,,,,,,,,3,A,4,1,,,,,,,,,1,,
89,S,SC,E,N,A,,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,N,,,,,,S,1,,,,,N,,,,,,,N,,1,1,1,1,1,1,,,,1,B,1,1,,,,,,,,,,,
92,S,GO,B,,D,1,,,1,,,S,,1,,S,1,1,,,,S,1,,,,,,,,,S,,,1,,S,1,,,,,,S,1,,,,,S,1,,,,,S,1,,,,,S,,,,1,,,S,A,,1,1,1,1,1,,,,2,B,2,1,,,,,,,,,,,
96,S,SP,B,,D,,,,1,,,S,,1,,S,1,,,,,S,1,,,,,,,,,N,,,,,,,,,,,,S,,,1,,,S,,1,,,,N,,,,,,N,,,,,,,N,,,1,,,,1,1,,,1,B,3,1,,,,,,,,,,,
97,S,RN,B,,D,,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,N,,,,,,N,,,,,,,N,,,1,,,,1,,,,3,A,1,,,,,,,,,,,,1
99,S,MG,B,,B,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,S,1,,1,,,N,,,,,,,N,,,,,,,1,,,,2,A,0,1,,,,,,,,,,,
100,S,SC,B,,D,1,,,,,,S,1,,,N,,,,,,S,1,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,S,1,1,,,,S,1,,,,,S,,,,,1,,S,A,1,,1,1,,,1,,,2,A,3,1,,,,,,,,,,,
102,S,RJ,B,,D,,,,1,,,S,,1,,N,,,,,,N,,,,,,,,,,S,1,1,,,S,1,,,,,,S,1,1,,,,S,1,,,,,S,1,,1,1,,S,,,,,1,,N,,1,1,,,,1,1,,,2,A,3,1,,,,,,,,,,,
103,S,MG,B,,C,,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,N,,,,,,N,,,,,,,N,,,,,,,,,,,3,A,2,,,1,,,,,,,,,
105,S,SP,A,N,D,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,S,1,,1,,S,,,1,,,,N,,,,,,N,,,,,,S,,,1,,,N,,,,,,,N,,,,,,1,1,,,,2,A,1,1,,,,,,,,,,,
106,S,CE,F,N,D,1,1,,1,,,N,,,,N,,,,,,S,1,,,,,,,,,S,1,,1,,S,,,1,,,,S,1,,,,,S,,1,,,,N,,,,,,N,,,,,,,N,,,,,,,,,,,2,A,2,1,,,,,,,,,,,
107,S,RJ,B,,D,,,,1,,,S,,1,,N,,,,,,S,1,,,1,,,,,,N,,,,,,,,,,,,S,1,,,,,S,1,1,,,,N,,,,,,N,,,,,,,N,,1,,1,,,,,,,2,B,0,,,,,,1,,,,,,
108,S,CE,B,,A,,,,,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,N,,,,,,N,,,,,,,N,,,,,1,,1,,,,2,A,2,,,1,,,,,,,,,
111,S,MG,B,,D,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,S,1,,,,,S,,,,,1,,N,,1,1,1,1,1,,1,,,2,A,2,,,,,,,,,1,,,1
112,S,RJ,B,,D,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,,,1,,,S,1,,,,,N,,,,,,N,,,,,,,N,,1,1,1,1,1,1,,,,1,B,4,1,,,,,,,,,,,
114,S,RJ,B,,D,1,1,,1,1,,N,,,,S,1,1,,,,S,1,,,,,,,1,,S,1,,,,S,,1,1,,1,,S,1,,,,,S,1,,,,,S,1,,,,,S,1,1,,,1,,S,A,1,1,1,1,1,,,1,,3,A,3,,1,,,,,,,,,,
115,S,CE,B,,C,,,,1,,,N,,,,N,,,,,,S,1,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,N,,,,,,S,1,,,,,N,,,,,,,N,,1,1,,1,1,,,,,1,A,2,1,,,,,,,,,,,
117,S,RS,A,N,D,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,S,1,,,,,S,1,,,,,N,,,,,,,N,,,1,1,,,1,,,,1,A,2,1,,,,,,,,,,,
120,S,MG,F,N,D,1,,,1,,,N,,,,S,,1,,,,S,,,,,,,,,1,N,,,,,,,,,,,,S,1,,,,,S,,1,,,,S,1,,1,,,S,,,,,,,N,,,1,1,1,1,1,1,1,,3,A,4,1,,,,,1,,,,,,
121,S,SP,B,,D,,,,1,,1,S,1,,,S,1,1,,,,S,1,,,,,,,,,S,1,,,,S,,,1,1,1,,S,1,,,,,S,,1,,,,N,,,,,,S,,1,,,,,N,,1,1,1,1,1,1,,1,,2,A,4,1,,,,,,,,,,,
124,S,MG,B,,C,,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,N,,,,,,N,,,,,,,N,,1,1,1,1,1,1,,,,2,B,2,,,1,,1,,,,,,,
126,S,RJ,E,S,D,,,,1,,1,N,,,,N,,,,,,S,,,1,,1,,,,,S,1,,,,S,,,,,1,,S,1,1,,,,S,,1,,,1,S,1,,,,,N,,,,,,,N,,1,1,,1,,1,,,,1,B,3,1,,,,,,,,,,,1
127,S,MG,E,S,D,,,,1,,,U,,,,S,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,N,,,,,,N,,,,,,N,,,,,,,N,,1,1,1,1,1,1,,,,1,B,2,1,,1,,,,,,,,,
131,S,CE,E,S,B,,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,1,,,,N,,,,,,N,,,,,,N,,,,,,,N,,,,,1,,,,,,3,A,2,1,,,,1,,,1,,,,
132,S,AL,B,,A,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,N,,,,,,N,,,,,,,N,,,,,1,,,,,,3,B,0,,,,,1,,,,,,,
133,S,SP,B,,D,1,1,1,,,1,S,1,1,,S,,1,,,,S,1,,,1,,,1,1,,S,1,,,,S,,1,,1,1,1,S,1,,,,,S,1,1,1,,,S,1,,1,,,S,,1,,1,,,S,D,1,1,1,1,1,1,,,,3,B,3,1,,,,,1,,,,,,
134,S,SP,F,S,D,,,,1,,1,S,,,1,N,,,,,,N,,,,,,,,,,S,1,,1,,S,1,,,,,,S,1,,,,,S,,1,1,,,S,1,,,,,S,,1,,,,,N,,,,,1,1,1,1,,,2,A,2,1,,,,,,,,,,,
139,S,CE,B,,D,1,,,1,1,,S,,1,,S,1,1,,,,S,1,,1,,,,1,,,N,,,,,,,,,,,,S,1,,,,,N,,,,,,S,1,,1,,,S,,1,1,,,,N,,,1,1,1,1,,,,,2,A,2,1,,,,,,,1,,,,
141,S,RJ,B,,D,,,,1,,,S,,1,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,1,,,S,1,1,,,,N,,,,,,N,,,,,,,N,,,1,,,,1,,,,1,B,2,1,,1,,1,,,,,,,
144,S,RJ,E,N,D,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,N,,,,,,S,1,,,,,N,,,,,,,N,,1,1,1,1,1,1,1,,,2,A,2,,,,1,,,,,,,,
145,S,RS,B,,A,,,,1,,,U,,,,N,,,,,,S,1,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,S,,,,1,,N,,,,,,,N,,,,,1,,,,,,0,A,0,,,1,,,,,,,,,
146,S,SP,B,,D,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,S,,,1,,N,,,,,,,S,,,,,1,N,,,,,,S,,,,,1,N,,,,,,,N,,,,,,,1,,,,1,B,2,,,,1,1,,,,,,,
